1997-03-21,07:24:57.0,49.34,6.66,1,2.6,unknown,BCSF,,,,,,07:24:57.0,49.34,6.66,1,2.6,07:24:57.0,49.33,6.72,1,2.6,07:24:57.0,49.3,6.7,2,2.7,2.3,2.8
1997-10-26,13:45:15.0,49.28,6.67,1,2.2,unknown,BCSF,,,,,,13:45:15.0,49.28,6.67,1,2.2,,,,,,13:45:13.0,49.4,7,2,2.2,1.7,2.2
1998-02-20,09:44:54.0,48.75,6.37,5,3.1,unknown,BCSF,,,,,,09:44:54.0,48.75,6.37,5,3.1,09:44:53.0,48.83,6.32,19,3.1,09:44:53.0,48.8,6.3,12,3.3,2.7,3.3
1998-03-28,12:39:00.0,49.18,7.69,5,1.3,unknown,BCSF,,,,,,12:39:00.0,49.18,7.69,5,1.3,12:39:00.0,49.18,7.67,2,1.3,,,,,,1.5,2.0
1998-07-09,19:05:14.0,48.75,5.86,5,2.1,unknown,BCSF,,,,,,19:05:14.0,48.75,5.86,5,2.1,,,,,,19:05:13.0,48.8,5.8,2,2.1,1.6,2.1
1998-08-11,04:20:21.0,48.68,5.69,5,2.1,unknown,BCSF,,,,,,04:20:21.0,48.68,5.69,5,2.1,,,,,,04:20:21.0,48.7,5.7,2,2.1,1.6,2.1
1998-08-16,08:41:37.0,49.37,7.71,5,1.3,unknown,BCSF,,,,,,08:41:37.0,49.37,7.71,5,1.3,08:41:37.0,49.37,7.72,2,1.3,08:41:36.0,49.4,7.8,2,2.1,1.6,2.0
1999-03-07,07:05:49.0,48.83,7.39,5,2,unknown,BCSF,,,,,,07:05:49.0,48.83,7.39,5,2,07:05:49.0,48.82,7.38,2,2,07:05:48.0,48.8,7.4,2,2.2,1.9,2.4
1999-03-21,12:46:21.0,48.82,6.63,5,1.8,unknown,BCSF,,,,,,12:46:21.0,48.82,6.63,5,1.8,12:46:21.0,48.75,6.45,2,1.8,12:46:19.0,48.9,6.6,7,1.9,1.7,2.1
1999-09-13,22:56:41.0,49.31,6.71,1,2.5,unknown,BCSF,,,,,,22:56:41.0,49.31,6.71,1,2.5,,,,,,22:56:40.0,49.4,6.9,2,2.5,2.0,2.5
