Identifiant	Nom	N° Siret	Département	CP	Commune	N° Gidic	X-Lambert-93	Y-Lambert-93	Année début	Année fin	Activité	Raison sociale	Date fin arrêté	Substance	Année1	Année2	Explosifs
72097	Font de la Fiolle		86	86037	BRIGUEIL-LE-CHANTRE	072.01747	553185.96	6589587.03	1972	2002	Non	ENTREPRISE RAMBAUD BERNARD ENTREPRISE MULOT JOSE CARRIERES TORTIGER M. TORTIGER JEAN	21 11 2002	Gneiss	1972	2002	
72100	Les Grandes Forges, Chez Vergeau		86	86064	CHATEAU-GARNIER	072.01742	504924.96	6577794.76	1984	2020	Oui	CARRIERES IRIBARREN ETABLISSEMENT IRIBARREN	27 03 2020	Marne	1984	2020	
72102	Le Grand Clos du Breuil		86	86070	CHAUVIGNY	072.01697	518065.90	6610903.17	1972	2037	Oui	ROCAMAT SOCIETE DERVILLE-FEVRE SOCIETE DES ANCIENS ETABLISSEMENTS FEVRE ET CIE	28 12 2020	Roche calcaire	1973	2037	
72103	Coste Plane		19	19018	BASSIGNAC-LE-HAUT	060.02681	627078.72	6458174.61	1977	2009	Oui	ANCIENS ETABLISSEMENTS FLAMARY POUGET HUBERT	01 12 2009	Granite, granodiorite, etc	1977	2009	
72104	Peuron		86	86070	CHAUVIGNY	072.01784	517671.71	6609511.76	1973	2003	Non	ROCAMAT	23 01 2003	Roche calcaire	1973	2003	
72106	Combe Nègre		11	11086	CAVES	066.00097	696003.76	6205753.77	1991	2024	Oui	EIFFAGE TRAVAUX PUBLICS MEDITERRANEE MAZZA	24 06 2024	Roche calcaire	1991	2024	
72107	Les Dîmes, Les Doubles Dîmes		86	86087	CRAON	072.01619	471049.54	6635294.27	1973	2024	Oui	GUILGAULT KUBIAK SOCIETE KUBIAK FILS	02 12 2024	Roche calcaire	1973	2024	
72108	Les Cosses de Guilly		86	86087	CRAON	072.02976	472818.48	6633238.05	1973	2003	Non	SOCIETE M-RY SOCIETE KUBIAK FILS	25 06 2003	Roche calcaire	1973	2003	
72109	Gléon		11	11436	VILLESEQUE-DES-CORBIERES	066.00398	687747.46	6215984.87	2005	2030	Oui	MAZZA	10 11 2030	Roche calcaire	2005	2030	
72110	Bois d'Hérault		63	63470	VOLVIC	056.01289	699071.56	6529952.43	1974	2006	Oui	MALLET MALLET GASTON	05 06 2006	Andésite	1974	2006	
72112	Bois de Champory		86	86090	CURCAY-SUR-DIVE	072.01736	471636.53	6662970.18	1999	2025	Oui	ARGI-PROPRE	16 02 2025	Roche calcaire	1999	2025	
72114	Suc de la Louve		63	63470	VOLVIC		699103.39	6529596.62	1974	2006	Oui	BROSSON	04 09 2006	Andésite	1974	2006	1 Internet
72115	Les Chavanèdes		63	63470	VOLVIC	163.00093	699887.18	6528799.43	1991	2014	Oui	SOCIETE DE TAILLE DE PIERRE ET DE LAVE LOUIS SETTE GIE DES GRANDS MOULINS	18 05 2014	Andésite	1991	2014	
72117	Les Creux		63	63470	VOLVIC	163.00095	699049.55	6530109.24	1999	2014	Oui	SOCIÉTÉ DES TRAVAUX PUBLICS DE LA LOZÈRE	18 05 2014	Andésite	1999	2014	
72119	Les Graniers		63	63470	VOLVIC	056.01296	700088.92	6528793.66	1985	2032	Oui	MALLET	07 01 2032	Andésite	1985	2032	
72121	Carrus Sud		11	11373	SALVEZINES	066.00364	644088.39	6186554.45	1973	2024	Oui	DENAIN ANZIN MINERAUX FELDSPATHS DU MIDI	20 01 2024	Feldspath	1973	2024	
72122	Les Littes		63	63470	VOLVIC	056.01290	698791.34	6529893.62	1974	2020	Oui	PYROLAVE MALLET	14 10 2020	Andésite	1974	2020	
72125	Les Moulins		63	63236	MONT-DORE	056.01143	683890.33	6496815.98	1974	2017	Oui	VOLCAMAT GIE DES GRANDS MOULINS	16 05 2017	Basalte	1974	2017	
72129	Sainte Croix		11	11255	MONTREDON-DES-CORBIERES	066.00228	692417.66	6230058.00	1974	2021	Oui	DOMITIA GRANULATS LANGUEDOC ROUSSILLON MATÉRIAUX BEC FRERES SABEL	03 10 2021	Roche calcaire	1974	2021	
72132	Cap Roumany		11	11188	LAPALME	066.00163	701413.31	6209679.76	1973	2023	Oui	SOCIÉTÉ DES CARRIÈRES DE CAP ROUMANY LAVOYE R. ET SES FILS	08 11 2023	Roche calcaire	1973	2023	
72133	Pierre Blanche		63	63086	LA CHAPELLE-AGNON	056.01015	748825.45	6501728.42	1996	2011	Oui	IMERYS CERAMICS FRANCE QUARTZ DE PIERRE BLANCHE	10 07 2011	Quartz	1996	2024	
72136	Las Très Jassétos		11	11188	LAPALME	066.00165	701429.54	6209355.63	1973	2033	Oui	LAVOYE R. ET SES FILS	15 07 2033	Roche calcaire	1973	2033	
72137	Le Taillis de Bauvais		86	86110	HAIMS	072.02875	544178.00	6604566.03	2001	2032	Oui	CARRIERE D'HAIMS MAQUIGNON FRERES	15 10 2032	Roche calcaire	2001	2032	
72138	Mouillères d'en Luquet		11	11373	SALVEZINES	066.00365	643204.18	6187356.25	1997	2017	Oui	DENAIN ANZIN MINERAUX FELDSPATHS DU MIDI	22 10 2017	Feldspath	1997	2017	
72139	Les Rivières		03	03004	ANDELAROCHE	056.00471	756143.73	6574262.04	1978	2004	Non	VIALLET DESIRE	18 04 2008	Granite, granodiorite, etc	1978	2008	
72140	Les Grippes		86	86114	JARDRES	072.01805	516592.21	6609381.75	1999	2014	Oui	SOCIETE DES CARRIERES DE LA VIENNE	24 03 2014	Roche calcaire	1999	2014	
72141	Pla de Roque		11	11322	ROQUEFORT-DES-CORBIERES	066.00310	697249.12	6209645.28	1972	2028	Oui	SOCIETE CARRIERES CALCAIRE DES CORBIERES CARRIÈRES DE LA 113	15 04 2028	Roche calcaire	1972	2028	
72142	Le Mondelet		03	03005	ARCHIGNAT	056.00472	653667.10	6584236.60	1979	2009	Non	CARRIERES DU MONTLUCONNAIS CARRIERES D'ARCHIGNAT	26 01 2009	Amphibolite	1979	2009	
72144	Bois de Brétigny, Les Hautes-Plantes		86	86114	JARDRES	072.01787	517208.07	6610333.74	1975	2032	Oui	FRANCEPIERRE POITOU-CHARENTES CARRIERES DE BRETIGNY	19 04 2032	Roche calcaire	1975	2032	
72145	Sous les Fradasses		19	19033	BUGEAT	060.00021	614391.46	6501717.49	1989	2020	Oui	MARBRERIE SALAGNAC	21 09 2020	Granite, granodiorite, etc	1989	2020	
72146	Les Grippes, Les Grandes Groies		86	86114	JARDRES	072.01620	516714.68	6609171.82	1993	2023	Oui	ROCAMAT	30 07 2023	Roche calcaire	1994	2023	
72150	Les Granges		03	03017	BARRAIS-BUSSOLLES	056.00477	756036.38	6574352.56	1978	2008	Non	CARRIERES VIALLET VIALLET DESIRE	18 04 2008	Granite, granodiorite, etc	1978	2008	
72151	Regord		11	11253	MONTOLIEU	066.00218	637867.42	6243955.08	1974	2015	Oui	AUDE AGREGATS MICOULEAU PIERRE	06 03 2015	Roche calcaire	1974	2015	
72152	La Perche		19	19035	CHABRIGNAC	060.00473	569923.24	6468989.86	1973	2010	Oui	CARRIERES ET BALLASTIERES LACHAUX	10 11 2010	Amphibolite	1973	2010	
72154	Bois de l'Epine		86	86124	LAVOUX	072.01808	510583.11	6613899.38	1973	2031	Oui	SOCIETE DES CARRIERES DE LA VIENNE ENTREPRISE JEAN SEIGNEURIN ENTREPRISE A. SEIGNEURIN ET FILS	25 09 2031	Roche calcaire	1973	2031	
